neighborhood,WifiSessions,WifiMinutes
Beechview,17319,2349743
Bloomfield,6858,1405758
Brookline,18266,2461372
Carrick,6430,987890
Central Business District,100802,11912027
Central Lawrenceville,11574,1587711
Central Northside,40010,4401158
East Liberty,60562,7372306
Hazelwood,18804,2435891
Homewood South,29618,3960604
Knoxville,26174,3356824
Marshall-Shadeland,23103,3262051
Middle Hill,24522,2893996
Mount Washington,8027,1356421
North Oakland,296258,40557804
Sheraden,23757,3525389
South Side Flats,20840,2928382
Squirrel Hill North,121232,16436638
West End,9374,1322137
